state,state_code,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alabama,AL,4830081,4841799,4852347,4863525,4874486,4887681,4903185,5024279,5039877
Alaska,AK,737068,736283,737498,741456,739700,735139,731545,733391,732673
Arizona,AZ,6632764,6730413,6829676,6941072,7044008,7158024,7278717,7151502,7276316
Arkansas,AR,2959400,2967392,2978048,2989918,3001345,3009733,3017804,3011524,3025891
California,CA,38260787,38596972,38918045,39167117,39358497,39461588,39512223,39538223,39237836
Colorado,CO,5269035,5350101,5450623,5539215,5611885,5691287,5758736,5773714,5812069
Connecticut,CT,3594841,3594524,3587122,3578141,3573297,3571520,3565287,3605944,3605597
Delaware,DE,923576,932487,941252,948921,956823,965479,973764,989948,1003384
Florida,FL,19545621,19845911,20209042,20613477,20963613,21244317,21477737,21538187,21781128
Georgia,GA,9972479,10067278,10178447,10301890,10410330,10511131,10617423,10711908,10799566
Hawaii,HI,1408243,1414538,1422052,1427559,1424393,1420593,1415872,1455271,1441553
Idaho,ID,1611206,1631112,1651059,1682380,1717715,1750536,1787065,1839106,1900923
Illinois,IL,12895129,12884493,12858913,12820527,12778828,12723071,12671821,12801989,12671469
Indiana,IN,6568713,6593644,6608422,6634304,6658078,6695497,6732219,6785528,6805985
Iowa,IA,3092997,3109350,3120960,3131371,3141550,3148618,3155070,3271616,3193079
Kansas,KS,2893212,2900475,2909011,2910844,2908718,2911359,2913314,2937880,2934582
Kentucky,KY,4404659,4414349,4425976,4438182,4452268,4461153,4467673,4505836,4509394
Louisiana,LA,4624527,4644013,4664628,4678135,4670560,4659690,4648794,4657757,4624047
Maine,ME,1328009,1330513,1328262,1331317,1334612,1339057,1344212,1362359,1372247
Maryland,MD,5923188,5957283,5985562,6003323,6023868,6035802,6045680,6177224,6165129
Massachusetts,MA,6713315,6762596,6794228,6823608,6859789,6882635,6892503,7029917,6984723
Michigan,MI,9913065,9929848,9931715,9950571,9973114,9984072,9986857,10077331,10050811
Minnesota,MN,5413479,5451079,5482032,5522744,5566230,5606249,5639632,5706494,5707390
Mississippi,MS,2988711,2990468,2988471,2987938,2988510,2981020,2976149,2961279,2949965
Missouri,MO,6040715,6056202,6071732,6087135,6106670,6121623,6137428,6154913,6168187
Montana,MT,1013569,1021869,1030475,1040859,1052482,1060665,1068778,1084225,1104271
Nebraska,NE,1865279,1879321,1891277,1905616,1915947,1925614,1934408,1961504,1963692
Nevada,NV,2775970,2817628,2866939,2917563,2969905,3027341,3080156,3104614,3143991
New Hampshire,NH,1326622,1333341,1336350,1342307,1348787,1353465,1359711,1377529,1388992
New Jersey,NJ,8856972,8864525,8867949,8870827,8885525,8886025,8882190,9288994,9267130
New Mexico,NM,2092273,2089568,2089291,2091630,2091784,2092741,2096829,2117522,2115877
New York,NY,19624447,19651049,19654666,19633428,19589572,19530351,19453561,20201249,19835913
North Carolina,NC,9843336,9932887,10031646,10154788,10268233,10381615,10488084,10439388,10551162
North Dakota,ND,722036,737401,754066,754434,754942,758080,762062,779094,774948
Ohio,OH,11576684,11602700,11617527,11634370,11659650,11676341,11689100,11799448,11780017
Oklahoma,OK,3853214,3878187,3909500,3926331,3931316,3940235,3956971,3959353,3986639
Oregon,OR,3922468,3963244,4015792,4089976,4143625,4181886,4217737,4237256,4246155
Pennsylvania,PA,12776309,12788313,12784826,12782275,12787641,12800922,12801989,13002700,12964056
Rhode Island,RI,1055081,1055936,1056065,1056770,1055673,1058287,1059361,1097379,1095610
South Carolina,SC,4764080,4823617,4891938,4957968,5021268,5084156,5148714,5118425,5190705
South Dakota,SD,842316,849129,853988,862996,872868,878698,884659,886667,895376
Tennessee,TN,6494340,6541223,6591170,6646010,6708799,6771631,6829174,6910840,6975218
Texas,TX,26480266,26964333,27470056,27914410,28295273,28628666,28995881,29145505,29527941
Utah,UT,2897640,2936879,2981835,3041868,3101042,3153550,3205958,3205958,3337975
Vermont,VT,626210,625214,625216,623657,624344,624358,623989,643077,645570
Virginia,VA,8252427,8310993,8361808,8410106,8463587,8501286,8535519,8631393,8642274
Washington,WA,7614566,7716983,7839057,7980586,8118268,8225416,8320642,8394826,8408742
West Virginia,WV,1853914,1849489,1842050,1831023,1817004,1804291,1792147,1793716,1782959
Wisconsin,WI,5736754,5751525,5760940,5772628,5790186,5807406,5822434,5893718,5895908
Wyoming,WY,582122,582531,585613,584215,578931,577601,578759,576851,578803
