state_code,dem,rep
AL,843473,1434159
AK,45758,80999
AZ,1643664,1626679
AR,420985,761251
CA,9315259,4812735
CO,1753416,1335253
CT,1059252,699079
DE,295413,199857
FL,5294767,5667834
GA,2465783,2455431
HI,365802,196602
ID,286991,554019
IL,3675573,2669999
IN,1239529,1727085
IA,757700,896102
KS,551199,753370
KY,778214,1343148
LA,855630,1255528
ME,419309,340512
MD,1590324,861861
MA,2254168,1121176
MI,2794853,2646956
MN,1717991,1485677
MS,447162,683527
MO,1242851,1711848
MT,243714,341763
NE,367931,550232
NV,664162,629879
NH,422284,365248
NJ,2108110,1449928
NM,498022,400920
NY,3699332,2850352
NC,2658280,2733687
ND,114687,234962
OH,2611377,3071959
OK,503890,1020280
OR,1318475,942737
PA,3361668,3315998
RI,300325,197421
SC,1092518,1386207
SD,150475,261108
TN,1139364,1849791
TX,5216321,5872348
UT,489465,759583
VT,227231,111131
VA,2392751,1961783
WV,232502,539610
WI,1630569,1610030
WY,73445,193454
WA,2561991,1529012
